title,price,district,town,main category,sub category,Brand,Model year,Condition,Transmission,Model,Body type,Fuel type,Engine capacity,Mileage
Suzuki Wagon R Stingray 2017,"3,260,000",Gampaha,Nittambuwa,Cars & Vehicles,Cars,Suzuki,2017,Reconditioned,Automatic,Wagon R Stingray,Hatchback,"Petrol, Other fuel type",650 ,"1,183 "
Mazda Rx 8 Grand Touring 2009,"4,575,000",Gampaha,Katunayake,Cars & Vehicles,Cars,Mazda,2009,Used,Tiptronic,Rx 8 Grand Touring,Coupé/Sports,Petrol,"1,300 ","40,000 "
Nissan Cefiro 2007,"3,675,000",Colombo,Moratuwa,Cars & Vehicles,Cars,Nissan,2007,Used,Automatic,Cefiro,,Petrol,"2,300 ","135,000 "
Bajaj pulsar 180 WF 2012,"127,000",Galle,Elpitiya,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2012,Used,,pulsar 180 WF,,,180 ,"45,300 "
Mercedes-Benz CLA180 SPORTS 2017,"11,200,000",Gampaha,Nittambuwa,Cars & Vehicles,Cars,Mercedes-Benz,2017,Reconditioned,Automatic,CLA180 SPORTS,Saloon,Petrol,"1,590 ","5,921 "
Isuzu REEZER TRUCK 2010,"4,100,000",Gampaha,Nittambuwa,Cars & Vehicles,"Vans, Buses & Lorries",Isuzu,2010,Reconditioned,,REEZER TRUCK,,,,"205,122 "
Yamaha Ray ZR Disk 2017,"212,000",Gampaha,Wattala,Cars & Vehicles,Motorbikes & Scooters,Yamaha,2017,New,,Ray ZR Disk,,,115 ,"7,500 "
Suzuki Wagon R Stingray 💎 2018,"3,340,000",Jaffna,Jaffna,Cars & Vehicles,Cars,Suzuki,2018,New,Automatic,Wagon R Stingray 💎,Hatchback,Petrol,660 ,0 
Toyota Vitz SAFETY 2018,"4,475,000",Gampaha,Nittambuwa,Cars & Vehicles,Cars,Toyota,2018,New,Automatic,Vitz SAFETY,Hatchback,Petrol,"1,000 ",0 
Toyota Allion 260 G grade 2010,"5,425,000",Kegalle,Kegalle,Cars & Vehicles,Cars,Toyota,2010,Used,Automatic,Allion 260 G grade,,Petrol,"1,500 ","51,243 "
Toyota Premio G Superior 2015,"6,675,000",Gampaha,Kadawatha,Cars & Vehicles,Cars,Toyota,2015,Used,Automatic,Premio G Superior,,Petrol,"1,500 ","52,000 "
TYRES 175/70R14 MINERVA FOR NISSAN SUNNY,"8,500",Colombo,Boralesgamuwa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
